Label,23.model.francis_2,23.length.comp.reweight
TOTAL_like,536.643,453.9
Survey_like,-48.598,-48.7578
Length_comp_like,270.396,191.063
Parm_priors_like,1.57165,2.0307
Recr_Virgin_millions,11.5504,27.7404
SR_LN(R0),9.35448,10.2306
SR_BH_steep,0.72,0.72
NatM_break_1_Fem_GP_1,0.04,0.054
NatM_break_2_Fem_GP_1,0.04,0.054
NatM_break_1_Mal_GP_1,0.04,0.054
NatM_break_2_Mal_GP_1,0.04,0.054
L_at_Amax_Fem_GP_1,73.6079,73.6079
L_at_Amax_Mal_GP_1,66.0728,66.0728
VonBert_K_Fem_GP_1,0.00989856,0.00989856
VonBert_K_Mal_GP_1,0.0167854,0.0167854
SSB_Virgin_thousand_mt,20.332,18.299
Bratio_2021,0.407749,0.50107
SPRratio_2020,0.659097,0.367748
