Label,23.model.francis_2,23.maturity.pgcurve,23.maturity.mix_curve
TOTAL_like,536.643,536.587,536.643
Survey_like,-48.598,-48.6386,-48.6074
Length_comp_like,270.396,270.417,270.409
Parm_priors_like,1.57165,1.57321,1.57249
Recr_Virgin_millions,11.5504,11.5397,11.5466
SR_LN(R0),9.35448,9.35355,9.35415
SR_BH_steep,0.72,0.72,0.72
NatM_break_1_Fem_GP_1,0.04,0.04,0.04
NatM_break_2_Fem_GP_1,0.04,0.04,0.04
NatM_break_1_Mal_GP_1,0.04,0.04,0.04
NatM_break_2_Mal_GP_1,0.04,0.04,0.04
L_at_Amax_Fem_GP_1,73.6079,73.6079,73.6079
L_at_Amax_Mal_GP_1,66.0728,66.0728,66.0728
VonBert_K_Fem_GP_1,0.00989856,0.00989856,0.00989856
VonBert_K_Mal_GP_1,0.0167854,0.0167854,0.0167854
SSB_Virgin_thousand_mt,20.332,21.797,21.416
Bratio_2021,0.407749,0.429083,0.418335
SPRratio_2020,0.659097,0.631195,0.640806
