"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70","Age71","Age72","Age73","Age74","Age75","Age76","Age77","Age78","Age79","Age80","Age81","Age82","Age83","Age84","Age85","Age86","Age87","Age88","Age89","Age90","Age91","Age92","Age93","Age94","Age95","Age96","Age97","Age98","Age99","Age100"
1901,0,5683.45,5584.68,5365.7,5155.31,4953.16,4758.95,4572.35,4393.06,4220.81,4055.31,3896.3,3743.52,3596.73,3455.7,3320.2,3190.02,3064.93,2944.76,2829.29,2718.35,2611.77,2509.36,2410.96,2316.43,2225.6,2138.33,2054.49,1973.93,1896.53,1822.17,1750.72,1682.07,1616.12,1552.75,1491.86,1433.37,1377.16,1323.16,1271.28,1221.43,1173.54,1127.53,1083.32,1040.84,1000.03,960.815,923.141,886.944,852.166,818.752,786.649,755.804,726.168,697.695,670.338,644.053,618.8,594.536,571.224,548.826,527.306,506.63,486.765,467.679,449.341,431.722,414.794,398.53,382.903,367.889,353.464,339.604,326.288,313.494,301.202,289.392,278.045,267.142,256.668,246.603,236.934,227.644,218.718,210.142,201.902,193.985,186.379,179.071,172.049,165.303,158.822,152.594,146.611,140.862,135.339,130.032,124.934,120.035,115.328,2825.92
1902,0,5671.88,5460.6,5365.7,5155.31,4953.16,4758.95,4572.35,4393.06,4220.81,4055.31,3896.3,3743.52,3596.73,3455.7,3320.2,3190.02,3064.93,2944.76,2829.29,2718.35,2611.76,2509.36,2410.96,2316.43,2225.6,2138.33,2054.49,1973.93,1896.53,1822.17,1750.72,1682.07,1616.12,1552.75,1491.86,1433.37,1377.16,1323.16,1271.28,1221.43,1173.54,1127.53,1083.31,1040.84,1000.03,960.814,923.14,886.943,852.165,818.751,786.648,755.803,726.167,697.694,670.337,644.053,618.799,594.536,571.224,548.826,527.306,506.63,486.765,467.678,449.34,431.722,414.793,398.529,382.903,367.889,353.464,339.604,326.288,313.494,301.202,289.392,278.044,267.142,256.667,246.603,236.934,227.644,218.718,210.142,201.902,193.985,186.379,179.071,172.049,165.303,158.822,152.594,146.611,140.862,135.339,130.032,124.933,120.035,115.328,2825.92
1903,0,5658.38,5449.48,5246.49,5155.31,4953.16,4758.95,4572.35,4393.06,4220.81,4055.31,3896.3,3743.52,3596.73,3455.7,3320.2,3190.02,3064.93,2944.76,2829.29,2718.35,2611.76,2509.36,2410.96,2316.43,2225.6,2138.33,2054.49,1973.93,1896.53,1822.16,1750.72,1682.07,1616.11,1552.75,1491.86,1433.36,1377.16,1323.16,1271.28,1221.43,1173.54,1127.52,1083.31,1040.84,1000.02,960.812,923.138,886.941,852.164,818.75,786.647,755.802,726.166,697.693,670.336,644.052,618.798,594.535,571.223,548.825,527.305,506.629,486.764,467.678,449.34,431.721,414.793,398.529,382.902,367.889,353.463,339.604,326.288,313.494,301.202,289.391,278.044,267.142,256.667,246.603,236.934,227.643,218.717,210.141,201.902,193.985,186.379,179.071,172.049,165.303,158.821,152.594,146.611,140.862,135.339,130.032,124.933,120.035,115.328,2825.92
1904,0,5640.86,5436.51,5235.81,5040.77,4953.16,4758.95,4572.35,4393.06,4220.81,4055.31,3896.3,3743.52,3596.73,3455.7,3320.2,3190.02,3064.93,2944.76,2829.29,2718.35,2611.76,2509.35,2410.96,2316.43,2225.6,2138.33,2054.48,1973.93,1896.53,1822.16,1750.71,1682.07,1616.11,1552.74,1491.86,1433.36,1377.16,1323.16,1271.28,1221.43,1173.54,1127.52,1083.31,1040.83,1000.02,960.811,923.137,886.94,852.162,818.749,786.645,755.8,726.165,697.692,670.335,644.051,618.797,594.534,571.222,548.824,527.304,506.629,486.763,467.677,449.339,431.721,414.793,398.528,382.902,367.888,353.463,339.604,326.288,313.494,301.201,289.391,278.044,267.142,256.667,246.603,236.934,227.643,218.717,210.141,201.902,193.985,186.379,179.071,172.049,165.303,158.821,152.594,146.611,140.862,135.339,130.032,124.933,120.035,115.328,2825.92
1905,0,5619.68,5419.68,5223.34,5030.51,4843.12,4758.95,4572.35,4393.06,4220.81,4055.31,3896.3,3743.52,3596.73,3455.7,3320.2,3190.02,3064.93,2944.76,2829.29,2718.35,2611.76,2509.35,2410.96,2316.42,2225.6,2138.33,2054.48,1973.92,1896.53,1822.16,1750.71,1682.07,1616.11,1552.74,1491.86,1433.36,1377.16,1323.16,1271.28,1221.43,1173.53,1127.52,1083.31,1040.83,1000.02,960.809,923.135,886.938,852.161,818.747,786.644,755.799,726.164,697.69,670.334,644.05,618.796,594.533,571.221,548.823,527.303,506.628,486.763,467.676,449.339,431.72,414.792,398.528,382.901,367.888,353.463,339.603,326.287,313.493,301.201,289.391,278.044,267.141,256.667,246.603,236.933,227.643,218.717,210.141,201.901,193.985,186.378,179.07,172.049,165.303,158.821,152.594,146.611,140.862,135.339,130.032,124.933,120.035,115.328,2825.92
1906,0,5598.65,5399.33,5207.17,5018.53,4833.26,4653.22,4572.35,4393.06,4220.81,4055.31,3896.3,3743.52,3596.73,3455.7,3320.2,3190.02,3064.93,2944.76,2829.29,2718.35,2611.76,2509.35,2410.96,2316.42,2225.59,2138.33,2054.48,1973.92,1896.52,1822.16,1750.71,1682.06,1616.11,1552.74,1491.85,1433.36,1377.15,1323.16,1271.27,1221.43,1173.53,1127.52,1083.31,1040.83,1000.02,960.807,923.133,886.936,852.159,818.745,786.642,755.797,726.162,697.689,670.332,644.048,618.795,594.532,571.22,548.822,527.302,506.627,486.762,467.676,449.338,431.719,414.791,398.527,382.901,367.887,353.462,339.603,326.287,313.493,301.201,289.39,278.043,267.141,256.666,246.602,236.933,227.643,218.717,210.141,201.901,193.985,186.378,179.07,172.049,165.303,158.821,152.594,146.61,140.862,135.339,130.032,124.933,120.035,115.328,2825.92
1907,0,5581.03,5379.13,5187.62,5002.99,4821.75,4643.74,4470.76,4393.06,4220.81,4055.31,3896.3,3743.52,3596.73,3455.7,3320.2,3190.02,3064.93,2944.76,2829.29,2718.35,2611.76,2509.35,2410.96,2316.42,2225.59,2138.33,2054.48,1973.92,1896.52,1822.16,1750.71,1682.06,1616.11,1552.74,1491.85,1433.36,1377.15,1323.15,1271.27,1221.42,1173.53,1127.52,1083.3,1040.83,1000.02,960.804,923.13,886.934,852.157,818.743,786.64,755.795,726.16,697.687,670.33,644.047,618.793,594.53,571.218,548.821,527.301,506.626,486.761,467.675,449.337,431.718,414.79,398.526,382.9,367.886,353.461,339.602,326.286,313.492,301.2,289.39,278.043,267.141,256.666,246.602,236.933,227.643,218.717,210.141,201.901,193.984,186.378,179.07,172.049,165.303,158.821,152.594,146.61,140.862,135.338,130.032,124.933,120.034,115.328,2825.92
1908,0,5564.14,5362.2,5168.21,4984.21,4806.82,4632.69,4461.66,4295.46,4220.81,4055.31,3896.3,3743.52,3596.73,3455.7,3320.2,3190.02,3064.93,2944.75,2829.29,2718.35,2611.76,2509.35,2410.96,2316.42,2225.59,2138.32,2054.48,1973.92,1896.52,1822.16,1750.71,1682.06,1616.1,1552.73,1491.85,1433.35,1377.15,1323.15,1271.27,1221.42,1173.53,1127.51,1083.3,1040.82,1000.01,960.802,923.128,886.931,852.154,818.741,786.638,755.793,726.158,697.685,670.329,644.045,618.792,594.529,571.217,548.819,527.3,506.624,486.759,467.673,449.336,431.717,414.79,398.526,382.899,367.886,353.461,339.601,326.286,313.492,301.2,289.39,278.043,267.14,256.666,246.602,236.932,227.642,218.716,210.14,201.901,193.984,186.378,179.07,172.049,165.302,158.821,152.593,146.61,140.862,135.338,130.032,124.933,120.034,115.328,2825.92
1909,0,5542.93,5345.96,5151.94,4965.56,4788.78,4618.34,4451.04,4286.71,4127.03,4055.31,3896.3,3743.52,3596.73,3455.7,3320.2,3190.02,3064.93,2944.75,2829.29,2718.35,2611.76,2509.35,2410.96,2316.42,2225.59,2138.32,2054.48,1973.92,1896.52,1822.15,1750.7,1682.06,1616.1,1552.73,1491.85,1433.35,1377.15,1323.15,1271.27,1221.42,1173.52,1127.51,1083.3,1040.82,1000.01,960.799,923.125,886.929,852.152,818.738,786.635,755.791,726.156,697.683,670.327,644.043,618.79,594.527,571.215,548.818,527.298,506.623,486.758,467.672,449.335,431.716,414.789,398.525,382.898,367.885,353.46,339.601,326.285,313.491,301.199,289.389,278.042,267.14,256.665,246.601,236.932,227.642,218.716,210.14,201.9,193.984,186.378,179.07,172.048,165.302,158.821,152.593,146.61,140.861,135.338,130.032,124.933,120.034,115.328,2825.92
1910,0,5522.48,5325.59,5136.34,4949.93,4770.86,4601.01,4437.26,4276.51,4118.63,3965.21,3896.3,3743.52,3596.73,3455.7,3320.2,3190.02,3064.93,2944.75,2829.29,2718.35,2611.76,2509.35,2410.96,2316.42,2225.59,2138.32,2054.48,1973.92,1896.52,1822.15,1750.7,1682.05,1616.1,1552.73,1491.84,1433.35,1377.14,1323.14,1271.26,1221.41,1173.52,1127.51,1083.3,1040.82,1000.01,960.796,923.122,886.926,852.149,818.736,786.633,755.788,726.154,697.681,670.324,644.041,618.788,594.525,571.213,548.816,527.297,506.621,486.757,467.671,449.333,431.715,414.787,398.524,382.897,367.884,353.459,339.6,326.284,313.491,301.199,289.388,278.042,267.139,256.665,246.601,236.932,227.642,218.716,210.14,201.9,193.984,186.377,179.07,172.048,165.302,158.821,152.593,146.61,140.861,135.338,130.031,124.933,120.034,115.328,2825.91
