"Label","Base","Low Growth","High Growth","2013 Maturity","Intermediate Maturity","Imputed Landings","2013 Landings","LogNorm Error MBI","DBI","MBI Depth-cov.","+ Slope Survey","WCGBTS extra SD"
"TOTAL_like",536.643,544.202,530.747,536.587,536.643,536.308,535.813,538.556,524.366,533.769,927.277,534.944
"Survey_like",-48.598,-44.2597,-53.3518,-48.6386,-48.6074,-48.6904,-49.0027,-41.8341,-54.3306,-46.9579,-64.1448,-45.554
"Length_comp_like",270.396,269.085,283.699,270.417,270.409,270.292,270.614,269.516,269.253,269.737,563.371,269.445
"Parm_priors_like",1.57165,1.63653,1.55214,1.57321,1.57249,1.57595,1.57988,1.56873,1.59689,1.58673,1.55729,1.55456
"Recr_Virgin_millions",11.5504,16.4954,7.22535,11.5397,11.5466,11.6667,11.8792,10.7031,10.3014,10.7611,10.0555,10.7933
"SR_LN(R0)",9.35448,9.71083,8.88535,9.35355,9.35415,9.36449,9.38255,9.27829,9.24004,9.2837,9.21587,9.28668
"SR_BH_steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"NatM_break_1_Fem_GP_1",0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
"NatM_break_2_Fem_GP_1",0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
"NatM_break_1_Mal_GP_1",0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
"NatM_break_2_Mal_GP_1",0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
"L_at_Amax_Fem_GP_1",73.6079,66.2471,92.0099,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079,73.6079
"L_at_Amax_Mal_GP_1",66.0728,59.4656,82.591,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728,66.0728
"VonBert_K_Fem_GP_1",0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856,0.00989856
"VonBert_K_Mal_GP_1",0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854,0.0167854
"SSB_Virgin_thousand_mt",20.332,18.477,29.637,21.797,21.416,20.537,20.911,18.841,18.134,18.943,17.701,19
"Bratio_2021",0.407749,0.455566,0.379748,0.429083,0.418335,0.398096,0.395172,0.383567,0.370669,0.382363,0.355395,0.390139
"SPRratio_2020",0.659097,0.518675,0.853035,0.631195,0.640806,0.658658,0.651123,0.748161,0.795359,0.745476,0.870912,0.733669
