year,seas,fleet,index,se_log
1980,7,5,2396.51733288477,0.170380511503775
1983,7,5,3103.0632165215,0.132203903857698
1986,7,5,1449.26967697249,0.18186731916163
1989,7,5,1916.29347384027,0.142737758650371
1992,7,5,2000.25900184552,0.179714372991675
1995,7,5,3048.47278060421,0.175768399751954
1998,7,5,2705.23319678113,0.208775316723324
2001,7,5,3069.73206357642,0.152851633823834
2004,7,5,3556.23165356565,0.197405380128368
1995,7,6,5201.13405492991,0.185258944422736
1998,7,6,3783.99513283702,0.168827629890035
2001,7,6,4610.8886658235,0.135582055588218
2004,7,6,5103.47376419581,0.198659768442002
2003,7,7,50654.596490194795,0.105227420106877
2004,7,7,52952.4133678041,0.092892308558838
2005,7,7,48194.477757921195,0.0584263762290811
2006,7,7,47416.571786709006,0.069675651691948
2007,7,7,48874.540546273405,0.0809471669236504
2008,7,7,43530.0499861819,0.0620620457130562
2009,7,7,57265.2501808082,0.186795654782928
2010,7,7,46055.4848211901,0.0833550460597565
2011,7,7,47984.093165467595,0.0680070311077625
2012,7,7,53234.232768921596,0.0848219097967493
2013,7,7,47904.121675622795,0.0824450693019565
2014,7,7,48602.5402436253,0.0854936705415572
2015,7,7,47261.8320661442,0.0667888457370871
2016,7,7,53192.3523251019,0.0717352272121509
2017,7,7,58442.5328767287,0.0682799407153045
2018,7,7,55501.9047831837,0.0539784258171418
2019,7,7,52950.5722428442,0.100051497707792
2021,7,7,54858.860608120594,0.0612186847017968
2022,7,7,67996.65037565389,0.0669477766554457
